exercise_name,equipment,mechanics,force,desc,execution,muscle_group,level
Reverse Wrist Curl,Barbell,Isolated,Pull,Sit and grasp bar with narrow to shoulder width overhand grip. Rest forearms on thighs with wrists just beyond knees.,Raise barbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.,Arms,1
Reverse Wrist Curl,Cable,Isolated,Pull,Sit and grasp cable bar with narrow to shoulder width overhand grip. Rest forearms on thighs with wrists just beyond knees.,Raise stirrup by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.,Arms,1
Reverse Wrist Curl,Dumbbell,Isolated,Pull,Sit and grip dumbbell with overhand grip. Rest forearm on thigh with wrist just beyond knee.,Raise dummbell by pointing knuckles upward as high as possible. Return until knuckles are pointing downward as far as possible. Repeat.,Arms,1
Reverse Wrist Curl,Lever (plate loaded),Isolated,Pull,Grasp bar with overhand grip. Place forearm on padded platform.,Raise bar until wrist is fully hyperextended and return until wrist is fully flexed. Repeat.,Arms,1
Reverse Wrist Curl,Lever (selectorized),Isolated,Pull,Grasp handles with overhand grip to each side. Place forearms on arm pads.,Raise handles until wrist is fully hyperextended. Lower handles until wrists are fully flexed. Repeat.,Arms,1
Seated Pronation ,Dumbbell,Isolated,Push,"Sit next to elevated surface, approximately arm pit height. With hand of upper arm, grasp unilaterally loaded dumbbell; pinkie positioned near weighted side. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb upward (supinated).",Rotate dumbbell so thumb turns downward (pronation). Return and repeat.,Arms,1
Seated Pronation ,Lever (selectorized),Isolated,Push,Sit on seat. Grasp rotating handles with underhand grip on each side and place forearms on pads.,Rotate shafts by turning palm downward. Return and repeat.,Arms,1
Seated Supination,Dumbbell,Isolated,Pull,"Sit next to elevated surface, approximately arm pit height. With hand of arm next to elevated surface, grasp unilaterally loaded dumbbell; thumb next to side with weight. Bend elbow approximately 90-degrees and place upperarm on elevated surface. Position thumb downward (pronated).",Rotate dumbbell so thumb turns upward (supination). Return and repeat.,Arms,1
Seated Supination,Lever (selectorized),Isolated,Pull,Sit on seat. Grasp rotating handles with overhand grip on each side and place forearms on pads.,Rotate shafts by turning palm upward. Return and repeat.,Arms,1
Bent-over Row,Barbell,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with wide overhand grip.,Pull bar to upper waist. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3
Bent-over Row:  Underhand,Barbell,Compound,Pull,Bend knees slightly and bend over bar with back straight. Grasp bar with underhand grip.,Pull bar to waist. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3
One Arm Bent-over Row,Cable,Compound,Pull,"Grasp cable stirrup. Step back away from pulley, with foot on same side as exercising arm, positioned out to side well behind forward foot. Bend over with hand on nearby bar or above knee for support. Keep back straight and knees slightly bent. Allow shoulder with stirrup to be pulled forward.","Pull cable attachment to side of torso, pulling shoulder back. Return until arm is extended and shoulder is stretched forward. Repeat. Continue with opposite arm.",Back,3
One Arm Straight Back Seated High Row,Cable,Compound,Pull,Sit on seat or bench. Bend forward and grasp cable stirrup with one hand. Position torso upright allowing shoulder to be pulled forward under weight on cable.,"Pull cable attachment to side of torso while pulling shoulder back, arching spine, and pushing chest forward. Return until arm is extended and shoulder is pulled forward. Repeat. Continue with opposite arm.",Back,3
Seated Row,Cable,Compound,Pull,Sit slightly forward on seat or bench in order to   grasp cable attachment. Place feet on vertical platform. Slide hips back positioning knees with slight bend.,"Pull cable attachment to waist while straightening lower back. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,2
Seated Row:  Straight Back,Cable,Compound,Pull,Sit slightly forward on bench with feet on foot bar or vertical platform. Grasp close grip cable attachment. Straighten torso   upright and slide hips back so knees are slightly bent.,"Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.",Back,2
Seated Wide Grip Row,Cable,Compound,Pull,"Sit slightly forward on platform in order to grasp cable attachment. With awider than shoulder width grip, slide hips back positioning knees with slight bend.","Pull cable attachment to waist while pulling torso upright.   Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,2
Seated Wide Grip Row:  Straight Back,Cable,Compound,Pull,"Sit slightly forward on bench or platform in order to grasp cable bar attachment. With wider than shoulder width overhand grip, straighten torso upright and slide hips back until knees are only   slightly bent.","Pull cable attachment to waist. Pull shoulders back and lift chest by arching back. Return until arms are extended, back is straight, and shoulders are stretched forward. Repeat.",Back,2
Bent-over Row,Dumbbell,Compound,Pull,Kneel over side of bench by placing knee and hand of supporting arm on bench. Position foot of opposite leg slightly back to side. Grasp dumbbell from floor.,Pull dumbbell to up to side until it makes contact with ribs or until upper arm is just beyond horizontal. Return until arm is extended and shoulder is stretched downward. Repeat and continue with opposite arm.,Back,3
Lying Row,Dumbbell,Compound,Pull,Lie chest down on elevated bench. Grasp dumbbells below.,Pull dumbbells to sides until upper arm is just beyond horizontal or height of back. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,2
Incline Row,Lever (plate loaded),Compound,Pull,Lie chest on inclined platform and grasp lever handles with overhand grip.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3
Incline Row:  Close Grip,Lever (plate loaded),Compound,Pull,Lie chest on inclined platform and grasp lever close grip handles.,Pull lever up as high as possible. Return until arms are extended and shoulders are stretched downward. Repeat.,Back,3
Seated Rows,Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
Seated Rows:  Narrow Grip,Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
"Seated Rows:  Wide Grip

Low Bar

",Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
Seated Rows (Others),Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
Seated Rows (Others):  Seated Low Row,Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand/neutral grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
Seated Rows (Others):  Seated High Row,Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
T-bar Row,Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3
T-bar Row:  Close grip,Lever (plate loaded),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3
Seated Row,Lever (selectorized),Compound,Pull,Sit on seat and position chest against pad. Push foot lever if available. Grasp narrower parallel grip handles.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
Seated Row:  Wide Grip,Lever (selectorized),Compound,Pull,Sit on seat and position chest against pad. Grasp outer lever handles with overhand grip.,Pull lever back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
Seated Row (no chest pad),Lever (selectorized),Compound,Pull,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,3
Seated Row (no chest pad):  Straight Back,Lever (selectorized),Compound,Pull,Sit on seat and grasp handles with each hand. Place feet on vertically angled platform. Slide hips back with knees slightly bent.,"Pull handles to waist while straightening torso upright. Pull shoulders back and push chest forward while arching back. Return until arms are extended, shoulders are stretched forward, and lower back is flexed forward. Repeat.",Back,3
Underhand Seated Row,Lever (selectorized),Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,2
Bent-over Row,Smith,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3
Inverted Row,Weighted,Compound,Pull,Sit on seat and position chest against pad. Grasp lever handles with underhand grip.,Pull levers back until elbows are behind back and shoulders are pulled back. Return until arms are extended and shoulders are stretched forward. Repeat.,Back,3
Inverted Row,Body Weight,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,3
Inverted Row:  Feet Elevated,Body Weight,Compound,Pull,Lay on back under fixed horizontal bar. Grasp bar with wide overhand grip. Place back of heels on elevated surface.,"Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,4
Inverted Row:  High Bar,Body Weight,Compound,Pull,"Stand facing arms length away from waist to head height horizontal bar. Grasp bar with wide overhand grip. Position body under bar with legs, hips and spine straight. Arms should be straight, approximately perpendicular to body. Heels should make contact with floor.","Keeping body straight, pull body up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,3
Inverted Row:  On Hips,Body Weight,Compound,Pull,Lay on back with belly under fixed horizontal bar. Bend knees and position feet on floor. Grasp bar with wide overhand grip.,"Keeping hips on floor and low back straight, pull torso up to bar. Pull shoulders back at top of movement with chest high. Return until arms are extended and shoulders are stretched forward. Repeat.",Back,3
Inverted Row,Suspended,Compound,Pull,"Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.",Pull body up so sides of chest make contact with handles while keeping body straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,3
Inverted Row:  One Arm,Suspended,Compound,Pull,"Position suspension handles higher than arms' length above floor. Sit on floor and grasp handles. Position body supine hanging from handles with arms straight, shoulders under handles, body straight, and back of heels on floor.",Pull body up so sides of chest make contact with handles while keeping body straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,4
Row,Suspended,Compound,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight.",Pull body up so sides of chest make contact with handles while keeping body and legs straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,2
Row:  One Arm,Suspended,Compound,Pull,"Grasp suspension handles and momentarily step back until arms are extended forward and straight. While keeping arms straight and shoulders back, step forward so body reclines back behind suspension handles. Position body and legs straight at desired angle, hanging from handles with arms straight.",Pull body up so sides of chest make contact with handles while keeping body and legs straight. Pull shoulders back at top of movement with chest high. Return until arms are extended straight and shoulders are stretched forward. Repeat.,Back,3
Pull-up (open-centered bar),Assisted (machine),Compound,Pull,Step up and grasp bar with wide overhand grip. Kneel on padded platform and lower body down with arm extended.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pull-up (open-centered bar):  Standing,Assisted (machine),Compound,Pull,Step up and grasp bar with wide overhand grip. Step down onto assistance lever or platform.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Parallel Close Grip Pull-up,Assisted (machine),Compound,Pull,Step up and grasp parallel grips. Kneel on padded platform and lower body down with arm extended.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pullover,Barbell,Isolated,Pull,Lie upper back perpendicular on bench. Flex hips slightly. Grasp barbell from behind and position over chest with elbows bent slightly.,"With elbows bent slightly, lower bar over and beyond head until shoulders are fully flexed or upper arms are approximately parallel to torso. Return and repeat.",Back,2
Bent-over Pullover,Cable,Isolated,Pull,Face high pulley and grasp revolving cable attachment with arm slightly bent. Place one foot slightly back and bend over at hip until shoulder is fully flexed (upper arms at sides of head).,"With elbows fixed approximately 30°, pull cable attachment down until upper arms are to sides. Return attachment overhead. Repeat.",Back,3
Close Grip Pulldown,Cable,Compound,Pull,Grasp parallel cable attachment. Sit with thighs under supports.,Pull down cable attachment to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2
Pulldown,Cable,Compound,Pull,Grasp cable bar with wide grip. Sit with thighs under supports.,Pull down cable bar to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2
Pulldown:  Parallel Grip Pulldown,Cable,Compound,Pull,Grasp cable bar with wide grip. Sit with thighs under supports.,Pull down cable bar to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2
Pullup/Chinup,Cable,Compound,Pull,Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt chains. Step up and grasp bars with shoulder width underhand grip. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pullup/Chinup:  Chinup,Cable,Compound,Pull,Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt chains. Step up and grasp bars with shoulder width underhand grip. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pullup/Chinup:  Parallel Close Grip Pull-up,Cable,Compound,Pull,Place dip belt around waist. Kneel as close as possible to low pulley or lever and attach hook to dip belt in front between legs. Step up and grasp close grip p   arallel bars with hands facing inward. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pullup/Chinup:  Parallel Grip Pull-up,Cable,Compound,Pull,Place dip belt around waist. Kneel as close as possible to low pulley or lever and attach hook to dip belt in front between legs. Step up and grasp parallel bars with hands facing inward. Lift legs off of steps or floor.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pullup/Chinup:  Pull-up,Cable,Compound,Pull,Place dip belt around waist. Kneel close to low pulley or lever and attach hook to dip belt. Step up and grasp bars with overhand wide grip. Lift legs off of steps or floor.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Underhand Pulldown,Cable,Compound,Pull,Grasp cable bar with underhand grip. Sit with thighs under supports.,Pull down cable bar to upper chest until elbows are to sides. Return until arms and shoulders are fully extended. Repeat.,Back,2
Pulldown,Lever (plate loaded),Compound,Pull,Grasp handles to each side with overhand grip. Sit on seat and position thighs under leg pads.,Pull levers down to sides of shoulders. Return until arms and shoulders are fully extended. Repeat.,Back,2
Underhand Pulldown,Lever (plate loaded),Compound,Pull,Grasp lever handles with underhand grip. Sit with thighs under supports.,Pull down lever handles toward sides until elbows are to sides. Return until arms and shoulders are fully extended. Repeat.,Back,2
Close Grip Pulldown,Lever (selectorized),Compound,Pull,Grasp parallel lever bars. Sit with thighs under supports.,Pull down handles to sides of chest while leaning back slightly. Return until arms and shoulders are fully extended. Repeat.,Back,2
Front Pulldown,Lever (selectorized),Compound,Pull,Grasp lever handles. Sit with thighs under supports.,Pull down lever to upper chest. Return until arms and shoulders are fully extended. Repeat.,Back,2
Pulldown,Lever (selectorized),Compound,Pull,Sit on seat. Reach up and grasp handles with wide overhand grip.,Pull levers down to sides of shoulders. Return until arms and shoulders are fully extended. Repeat.,Back,2
Pullover,Lever (selectorized),Isolated,Pull,Adjust seat height so lever is near shoulder axis. Sit on machine and push foot lever. Place elbows on pads and grasp bar from behind. Release foot lever and place feet on platform or to sides.,"Pull lever forward and down until elbows are to sides. Return until shoulders are fully flexed, or upper arms are parallel to torso. Repeat.",Back,2
Chin-up,Weighted,Compound,Pull,Step up and grasp bar with underhand shoulder width grip.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Parallel Close Grip Pull-up,Weighted,Compound,Pull,Step up and grasp close grip parallel bars.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pull-up,Weighted,Compound,Pull,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Archer Pull-up,Band-assisted,Compound,Pull,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,5
Chin-up,Band-assisted,Compound,Pull,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pull-up,Band-assisted,Compound,Pull,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pull-up:  Parallel Grip,Band-assisted,Compound,Pull,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Archer Pull-up,Body Weight,Compound,Pull,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,5
Chin-up,Body Weight,Compound,Pull,Step up and grasp bar with underhand shoulder width grip.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
One Arm Pull-up New!,Body Weight,Compound,Pull,Step up and grasp bar with underhand shoulder width grip.,Pull body up until elbows are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,5
Parallel Close Grip Pull-up,Body Weight,Compound,Pull,Step up and grasp parallel bars.,Pull body up until elbow are to sides. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pull-up,Body Weight,Compound,Pull,Step up and grasp bar with overhand wide grip.,Pull body up until chin is above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Chin-up,Assisted (partner),Compound,Pull,Step up and grasp bar with underhand shoulder width grip. Bend knees so partner can assist from behind.,Pull body up until elbows are to sides or chin is just above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pull-up,Assisted (partner),Compound,Pull,Step up and grasp bar with wide overhand grip. Bend knees so partner can assist from behind.,Pull body up until chin is just above bar. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Chin-up,Self-assisted,Compound,Pull,"Stand facing fixed horizontal bar at neck height. Grasp bar with underhand grip shoulder width. Position feet forward on floor, slightly in front of bar.","Lower body under bar until arms and shoulders are fully extended. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping flat on floor. Pull body up until elbows are to sides, again with minimal assistance from lower body. Repeat.",Back,4
Pull-up,Self-assisted,Compound,Pull,"Stand facing fixed horizontal bar at neck height. Grasp bar with wide overhand grip. Position feet forward on floor, slightly in front of bar.","Lower body under bar until arms and shoulders are fully extended. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping flat on floor. Pull body up until chin is just above bar, again with minimal assistance from legs. Repeat.",Back,4
Pull-up,Suspension,Compound,Pull,Grasp high suspension handles.,Pull body up until neck reaches height of hands. Lower body until arms and shoulders are fully extended. Repeat.,Back,4
Pull-up:  Self-assisted,Suspension,Compound,Pull,"Stand facing suspension handles placed at neck height. Grasp handles and position feet forward on floor, slightly in front of handles.","Lower body under handles until arms and shoulders are fully extended. If necessary, use minimal assistance of lower body to control descent, allowing knees and hips to bend, keeping flat on floor. Pull body up until chin is just above handles, again with minimal assistance from legs. Repeat.",Back,3
Shrug,Barbell,Isolated,Pull,Stand holding barbell with overhand or mixed grip; shoulder width or slightly wider.,Elevate shoulders as high as possible. Lower and repeat.,Back,1
Trap Bar Shrug,Barbell,Isolated,Pull,Step into trap barbell and stand holding handles of trap bar to sides.,Elevate shoulders as high as possible. Lower and repeat.,Back,2
Shrug,Cable,Isolated,Pull,Stand facing low pulley and grasp cable bar with shoulder width or slightly wider overhand grip. Stand close to pulley.,"With arms straight, elevate shoulders as high as possible. Lower and repeat.",Back,1
Shrug with Stirrups,Cable,Isolated,Pull,Stand between two low pulleys and grasp stirrups to each side. Stand upright with arms straight down to each side.,"With arms straight, elevate shoulders as high as possible. Lower and repeat.",Back,1
Shrug,Dumbbell,Isolated,Pull,Stand holding dumbbells to sides.,Elevate shoulders as high as possible. Lower and repeat.,Back,1
Seated Shrug,Lever (plate loaded),Isolated,Pull,Sit on bench and grasp lower handles to each side. Sit upright.,Elevate shoulders as high as possible. Lower and repeat.,Back,1
Shrug,Lever (plate loaded),Isolated,Pull,Stand between lever handles to sides. Squat down with feet flat on floor and grasp upper handles to sides. Stand upright by extending hips and knees to full extension.,Elevate shoulders as high as possible. Lower and repeat.,Back,1
Shrug,Lever (selectorized)​​​​​​​,Isolated,Pull,Stand holding lever bar with shoulder width overhand or mixed grip.,Elevate shoulders as high as possible. Lower and repeat.,Back,1
Gripless Shrug,Sled,Isolated,Pull,Stand with shoulders under padded bar.,Elevate shoulders as high as possible. Lower and repeat.,Back,1
Shrug,Smith,Isolated,Pull,Stand grasping smith bar with shoulder width or slightly wider overhand grip. Disengage bar by rotating bar back.,Elevate shoulders as high as possible. Lower and repeat.,Back,1
Inverted Shrug,Body Weight,Isolated,Pull,"Stand between parallel bars. Squat down and grasp parallel bars from above. Kick legs up inverting and balancing body upside down. Legs can be kept bent or straight, positioned vertically.",Raise body up a high as possible by pulling shoulders toward ears. Lower body to original position and repeat.,Back,2
Inverted Shrug,Suspended,Isolated,Pull,"Grasp gymnastics rings, one in each hand. Sit on mat between parallel bars. Kick legs up inverting and balancing body upside down.",Raise body up a high as possible by pulling shoulders toward ears. Lower body to original position and repeat.,Back,2
Seated Shoulder External Rotation,Cable,Isolated,Pull,Stand with side to elbow height cable pulley. Grasp stirrup attachment with far arm. Position elbow against side and forearm across belly.,Pull cable attachment away from body as far as possible by externally rotating shoulder. Return and repeat. Turn around and continue with opposite arm.,Back,1
Seated Shoulder External Rotation:  Standing,Cable,Isolated,Pull,Stand with side to elbow height cable pulley. Grasp stirrup attachment with far arm. Position elbow against side and forearm across belly.,Pull cable attachment away from body as far as possible by externally rotating shoulder. Return and repeat. Turn around and continue with opposite arm.,Back,1
Lying Shoulder External Rotation,Dumbbell,Isolated,Pull,Lie on side with legs separated for support. Grasp dumbbell and position elbow against side and forearm across belly.,Lift dumbbell by rotating shoulder. Return and repeat. Flip over and continue with opposite arm.,Back,1
Upright Shoulder External Rotation (with support),Dumbbell,Isolated,Pull,"Stand or sit with side against chest height platform. With dumbbell in hand, position upper arm horizontally on platform, elbow bent so forearm is upright.",Lower dumbbell forward by rotating shoulder. Return and repeat. Continue with opposite arm.,Back,1
Shoulder External Rotation,Lever (plate loaded),Isolated,Pull,"Stand or sit with side against chest height platform. With dumbbell in hand, position upper arm horizontally on platform, elbow bent so forearm is upright.",Lower dumbbell forward by rotating shoulder. Return and repeat. Continue with opposite arm.,Back,1
Shoulder External Rotation,Lever (selectorized),Isolated,Pull,Place elbow on forearm pad and grasp handle with upper arm to side of body and forearm against body.,Pull lever away from body. Return and repeat. Adjust lever to opposite side and repeat with other arm.,Back,1
Shoulder External Rotation,Suspended,Isolated,Pull,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1
Standing Shoulder Internal Rotation,Cable,Isolated,Pull,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1
Shoulder Internal Rotation,Dumbbell,Isolated,Pull,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1
Shoulder Internal Rotation:  on floor,Dumbbell,Isolated,Pull,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1
Shoulder Internal Rotation,Lever (plate loaded),Isolated,Pull,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1
Shoulder Internal Rotation​​​​​​​,Lever (selectorized),Isolated,Pull,Grasp suspension handles and position bent elbows to each sides of waist.,"Pull handles apart from each side, while keeping fixed elbow position and body and legs straight throughout movement. Raise forward so handles are to each side of body. Return back until handles come back together in front of body. Repeat.",Back,1
Chest Dip,Assisted,Compound,Push,"Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Step down onto assistance lever with hips and knees bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders, push body up until arms are straight. Repeat.",Chest,3
Chest Dip:  kneeling,Assisted,Compound,Push,"Mountwide dip barwith oblique grip (bar diagonal under palm), arms straight with shoulders above hands. Kneel on padded platform, lowering it down slightly so hips are slightly bent.","Lower body by bending arms, allowing elbows to flare out to sides. When slight stretch is felt in chest or shoulders push body up until arms are straight. Repeat.",Chest,2
Bench Press,Barbell,Compound,Push,Lie supine on bench. Dismount barbell from rack over upper chest using wide oblique overhand grip.,Lower weight to chest. Press bar upward until arms are extended. Repeat.,Chest,3
Bench Press:  Power Lift,Barbell,Compound,Push,"Lie supine on bench. Grasp bar with overhand and slightly wider than shoulder width grip. Arch back, extend hips, and position feet back flat on floor. Dismount barbell from rack over chest.",Lower weight to lower chest. Press bar upward until arms are extended. Repeat.,Chest,4
Decline Bench Press,Barbell,Compound,Push,Lie supine on decline bench with feet under leg brace. Dismount barbell from rack over chest using wide oblique overhand grip.,Lower weight to chest. Press bar until arms are extended. Repeat.,Chest,3
Flies,Cable,Isolated,Push,"Grasp two opposing low pulley stirrup attachments. Lie supine on bench, in middle and perpendicular to both pulleys. Slightly bend elbows and internally rotate shoulders so elbows are back.",Bring cable attachments together in hugging motion with elbows in fixed position and shoulders internally rotated so elbows are to sides. Return to starting position until slight stretch. Repeat.,Chest,2
Flies:  Lying Fly,Cable,Isolated,Push,"Grasp two opposing low pulley stirrup attachments. Lie supine on bench, in middle and perpendicular to both pulleys. Slightly bend elbows and internally rotate shoulders so elbows are back.",Bring cable attachments together in hugging motion with elbows in fixed position and shoulders internally rotated so elbows are to sides. Return to starting position until slight stretch. Repeat.,Chest,2
Flies:  Seated Fly,Cable,Isolated,Push,Sit on seat and grasp stirrups to each side. Slightly bend elbows and internally rotate shoulders so elbows are back.,"Keeping elbows pointed high, bring cable attachments together in hugging motion with elbows in fixed position. Return to starting position until slight stretch. Repeat.",Chest,2
Flies:  Standing Fly,Cable,Isolated,Push,Grasp two opposing high pulley dumbbell attachments. Stand with pulleys to each side. Bend over slightly by flexing hips and knees. Bend elbows slightly and internally rotate shoulders so elbows are back initially.,Bring cable attachments together in hugging motion with elbows in fixed position. Keep shoulders internally rotated so elbows are pointed upward at top and out to sides at bottom. Return to starting position until chest muscles are stretched. Repeat.,Chest,2
